round,week,day,date,time,home_team,score,away_team,attendance,venue,referee,match_report,notes,game_id
Regular season,5,Tue,2014-09-23,20:00,Hoffenheim,3–3,Freiburg,24872,PreZero Arena,Thorsten Kinhöfer,/en/matches/d73e6ee5/Hoffenheim-Freiburg-September-23-2014-Bundesliga,,d73e6ee5
Regular season,5,Tue,2014-09-23,20:00,Werder Bremen,0–3,Schalke 04,40139,Weserstadion,Wolfgang Stark,/en/matches/bd4e1da1/Werder-Bremen-Schalke-04-September-23-2014-Bundesliga,,bd4e1da1
Regular season,5,Wed,2014-09-24,20:00,Dortmund,2–2,Stuttgart,79500,Signal Iduna Park,Manuel Gräfe,/en/matches/7e949356/Dortmund-Stuttgart-September-24-2014-Bundesliga,,7e949356
Regular season,5,Wed,2014-09-24,20:00,Hannover 96,1–0,Köln,39400,HDI-Arena,Tobias Stieler,/en/matches/ecca32f9/Hannover-96-Koln-September-24-2014-Bundesliga,,ecca32f9
Regular season,5,Wed,2014-09-24,20:00,Hertha BSC,1–0,Wolfsburg,35847,Olympiastadion Berlin,Robert Hartmann,/en/matches/07754a28/Hertha-BSC-Wolfsburg-September-24-2014-Bundesliga,,07754a28
Regular season,5,Wed,2014-09-24,20:00,Leverkusen,1–0,Augsburg,23081,BayArena,Guido Winkmann,/en/matches/39b46d25/Bayer-Leverkusen-Augsburg-September-24-2014-Bundesliga,,39b46d25
Regular season,5,Wed,2014-09-24,20:00,M'Gladbach,1–0,Hamburger SV,44175,Stadion im Borussia-Park,Deniz Aytekin,/en/matches/dd04bfbf/Monchengladbach-Hamburger-SV-September-24-2014-Bundesliga,,dd04bfbf
Regular season,6,Fri,2014-09-26,20:30,Mainz 05,0–0,Hoffenheim,28729,Opel Arena,Felix Zwayer,/en/matches/7ba51a38/Mainz-05-Hoffenheim-September-26-2014-Bundesliga,,7ba51a38
Regular season,6,Sat,2014-09-27,15:30,Freiburg,0–0,Leverkusen,23500,Schwarzwald-Stadion,Felix Brych,/en/matches/91813845/Freiburg-Bayer-Leverkusen-September-27-2014-Bundesliga,,91813845
Regular season,6,Sat,2014-09-27,15:30,Köln,0–2,Bayern Munich,50000,RheinEnergieSTADION,Knut Kircher,/en/matches/02ad8498/Koln-Bayern-Munich-September-27-2014-Bundesliga,,02ad8498
Regular season,6,Sat,2014-09-27,15:30,Paderborn 07,1–2,M'Gladbach,15000,Benteler-Arena,Marco Fritz,/en/matches/4cd770a7/Paderborn-07-Monchengladbach-September-27-2014-Bundesliga,,4cd770a7
Regular season,6,Sat,2014-09-27,15:30,Schalke 04,2–1,Dortmund,61973,Veltins-Arena,Peter Gagelmann,/en/matches/158bea92/Revierderby-Schalke-04-Dortmund-September-27-2014-Bundesliga,,158bea92
Regular season,6,Sat,2014-09-27,15:30,Stuttgart,1–0,Hannover 96,40500,Mercedes-Benz Arena,Günter Perl,/en/matches/f5d0dca0/Stuttgart-Hannover-96-September-27-2014-Bundesliga,,f5d0dca0
Regular season,6,Sat,2014-09-27,18:30,Wolfsburg,2–1,Werder Bremen,29117,Volkswagen Arena,Peter Sippel,/en/matches/dcf4fdee/Wolfsburg-Werder-Bremen-September-27-2014-Bundesliga,,dcf4fdee
Regular season,6,Sun,2014-09-28,15:30,Augsburg,1–0,Hertha BSC,28532,WWK Arena,Bastian Dankert,/en/matches/fe82345b/Augsburg-Hertha-BSC-September-28-2014-Bundesliga,,fe82345b
Regular season,6,Sun,2014-09-28,17:30,Hamburger SV,1–2,Eint Frankfurt,47643,Volksparkstadion,Florian Meyer,/en/matches/3d5ddacd/Hamburger-SV-Eintracht-Frankfurt-September-28-2014-Bundesliga,,3d5ddacd
Regular season,7,Fri,2014-10-03,20:30,Hertha BSC,3–2,Stuttgart,46312,Olympiastadion Berlin,Deniz Aytekin,/en/matches/0fa45d97/Hertha-BSC-Stuttgart-October-3-2014-Bundesliga,,0fa45d97
Regular season,7,Sat,2014-10-04,15:30,Bayern Munich,4–0,Hannover 96,71000,Allianz Arena,Daniel Siebert,/en/matches/7b9ba728/Bayern-Munich-Hannover-96-October-4-2014-Bundesliga,,7b9ba728
Regular season,7,Sat,2014-10-04,15:30,Dortmund,0–1,Hamburger SV,80667,Signal Iduna Park,Felix Zwayer,/en/matches/d266f993/Dortmund-Hamburger-SV-October-4-2014-Bundesliga,,d266f993
Regular season,7,Sat,2014-10-04,18:30,Eint Frankfurt,3–2,Köln,51500,Commerzbank-Arena,Wolfgang Stark,/en/matches/e2578a0d/Eintracht-Frankfurt-Koln-October-4-2014-Bundesliga,,e2578a0d
Regular season,7,Sat,2014-10-04,15:30,Hoffenheim,2–1,Schalke 04,30000,PreZero Arena,Florian Meyer,/en/matches/504e771a/Hoffenheim-Schalke-04-October-4-2014-Bundesliga,,504e771a
Regular season,7,Sat,2014-10-04,15:30,Leverkusen,2–2,Paderborn 07,30210,BayArena,Günter Perl,/en/matches/cae1341e/Bayer-Leverkusen-Paderborn-07-October-4-2014-Bundesliga,,cae1341e
Regular season,7,Sat,2014-10-04,15:30,Werder Bremen,1–1,Freiburg,40029,Weserstadion,Knut Kircher,/en/matches/1440250a/Werder-Bremen-Freiburg-October-4-2014-Bundesliga,,1440250a
Regular season,7,Sun,2014-10-05,17:30,M'Gladbach,1–1,Mainz 05,50383,Stadion im Borussia-Park,Manuel Gräfe,/en/matches/281584e2/Monchengladbach-Mainz-05-October-5-2014-Bundesliga,,281584e2
Regular season,7,Sun,2014-10-05,15:30,Wolfsburg,1–0,Augsburg,25734,Volkswagen Arena,Markus Schmidt,/en/matches/9cf84e9d/Wolfsburg-Augsburg-October-5-2014-Bundesliga,,9cf84e9d
Regular season,8,Sat,2014-10-18,15:30,Bayern Munich,6–0,Werder Bremen,71000,Allianz Arena,Bastian Dankert,/en/matches/41f3a56d/Bayern-Munich-Werder-Bremen-October-18-2014-Bundesliga,,41f3a56d
Regular season,8,Sat,2014-10-18,15:30,Freiburg,1–2,Wolfsburg,23500,Schwarzwald-Stadion,Christian Dingert,/en/matches/f8bf1b73/Freiburg-Wolfsburg-October-18-2014-Bundesliga,,f8bf1b73
Regular season,8,Sat,2014-10-18,15:30,Hannover 96,0–3,M'Gladbach,49000,HDI-Arena,Thorsten Kinhöfer,/en/matches/89c01fa7/Hannover-96-Monchengladbach-October-18-2014-Bundesliga,,89c01fa7
Regular season,8,Sat,2014-10-18,15:30,Köln,2–1,Dortmund,50000,RheinEnergieSTADION,Marco Fritz,/en/matches/03072225/Koln-Dortmund-October-18-2014-Bundesliga,,03072225
Regular season,8,Sat,2014-10-18,15:30,Mainz 05,2–1,Augsburg,27687,Opel Arena,Tobias Stieler,/en/matches/c708bafe/Mainz-05-Augsburg-October-18-2014-Bundesliga,,c708bafe
Regular season,8,Sat,2014-10-18,18:30,Schalke 04,2–0,Hertha BSC,61973,Veltins-Arena,Knut Kircher,/en/matches/4c673e2b/Schalke-04-Hertha-BSC-October-18-2014-Bundesliga,,4c673e2b
Regular season,8,Sat,2014-10-18,15:30,Stuttgart,3–3,Leverkusen,40900,Mercedes-Benz Arena,Felix Zwayer,/en/matches/f71c9194/Stuttgart-Bayer-Leverkusen-October-18-2014-Bundesliga,,f71c9194
Regular season,8,Sun,2014-10-19,15:30,Hamburger SV,1–1,Hoffenheim,49003,Volksparkstadion,Peter Sippel,/en/matches/369c7939/Hamburger-SV-Hoffenheim-October-19-2014-Bundesliga,,369c7939
Regular season,8,Sun,2014-10-19,17:30,Paderborn 07,3–1,Eint Frankfurt,15000,Benteler-Arena,Deniz Aytekin,/en/matches/8297180d/Paderborn-07-Eintracht-Frankfurt-October-19-2014-Bundesliga,,8297180d
Regular season,9,Fri,2014-10-24,20:30,Werder Bremen,0–1,Köln,42100,Weserstadion,Felix Brych,/en/matches/61a6d56a/Werder-Bremen-Koln-October-24-2014-Bundesliga,,61a6d56a
Regular season,9,Sat,2014-10-25,15:30,Augsburg,2–0,Freiburg,28324,WWK Arena,Marco Fritz,/en/matches/b5c9b50a/Augsburg-Freiburg-October-25-2014-Bundesliga,,b5c9b50a
Regular season,9,Sat,2014-10-25,15:30,Dortmund,0–1,Hannover 96,80667,Signal Iduna Park,Tobias Stieler,/en/matches/5d372207/Dortmund-Hannover-96-October-25-2014-Bundesliga,,5d372207
Regular season,9,Sat,2014-10-25,15:30,Eint Frankfurt,4–5,Stuttgart,49700,Commerzbank-Arena,Christian Dingert,/en/matches/c301f9d3/Eintracht-Frankfurt-Stuttgart-October-25-2014-Bundesliga,,c301f9d3
Regular season,9,Sat,2014-10-25,15:30,Hertha BSC,3–0,Hamburger SV,58768,Olympiastadion Berlin,Thorsten Kinhöfer,/en/matches/673fe6ee/Hertha-BSC-Hamburger-SV-October-25-2014-Bundesliga,,673fe6ee
Regular season,9,Sat,2014-10-25,15:30,Hoffenheim,1–0,Paderborn 07,25712,PreZero Arena,Robert Hartmann,/en/matches/11108821/Hoffenheim-Paderborn-07-October-25-2014-Bundesliga,,11108821
Regular season,9,Sat,2014-10-25,18:30,Leverkusen,1–0,Schalke 04,30210,BayArena,Manuel Gräfe,/en/matches/76e77932/Bayer-Leverkusen-Schalke-04-October-25-2014-Bundesliga,,76e77932
Regular season,9,Sun,2014-10-26,17:30,M'Gladbach,0–0,Bayern Munich,54010,Stadion im Borussia-Park,Felix Zwayer,/en/matches/a19cb8cc/Monchengladbach-Bayern-Munich-October-26-2014-Bundesliga,,a19cb8cc
Regular season,9,Sun,2014-10-26,15:30,Wolfsburg,3–0,Mainz 05,26238,Volkswagen Arena,Guido Winkmann,/en/matches/e45996e0/Wolfsburg-Mainz-05-October-26-2014-Bundesliga,,e45996e0
Regular season,10,Fri,2014-10-31,20:30,Schalke 04,1–0,Augsburg,60954,Veltins-Arena,Christian Dingert,/en/matches/4d9e85b5/Schalke-04-Augsburg-October-31-2014-Bundesliga,,4d9e85b5
Regular season,10,Sat,2014-11-01,18:30,Bayern Munich,2–1,Dortmund,71000,Allianz Arena,Manuel Gräfe,/en/matches/ba7c2233/Der-Klassiker-Bayern-Munich-Dortmund-November-1-2014-Bundesliga,,ba7c2233
Regular season,10,Sat,2014-11-01,15:30,Hamburger SV,1–0,Leverkusen,52990,Volksparkstadion,Florian Meyer,/en/matches/902420d6/Hamburger-SV-Bayer-Leverkusen-November-1-2014-Bundesliga,,902420d6
Regular season,10,Sat,2014-11-01,15:30,Hannover 96,1–0,Eint Frankfurt,42200,HDI-Arena,Sascha Stegemann,/en/matches/5b6db09b/Hannover-96-Eintracht-Frankfurt-November-1-2014-Bundesliga,,5b6db09b
Regular season,10,Sat,2014-11-01,15:30,Mainz 05,1–2,Werder Bremen,31017,Opel Arena,Wolfgang Stark,/en/matches/17680e42/Mainz-05-Werder-Bremen-November-1-2014-Bundesliga,,17680e42
Regular season,10,Sat,2014-11-01,15:30,Stuttgart,0–4,Wolfsburg,50050,Mercedes-Benz Arena,Bastian Dankert,/en/matches/07278ecb/Stuttgart-Wolfsburg-November-1-2014-Bundesliga,,07278ecb
Regular season,10,Sun,2014-11-02,17:30,Köln,0–1,Freiburg,46500,RheinEnergieSTADION,Peter Gagelmann,/en/matches/4a0e97d1/Koln-Freiburg-November-2-2014-Bundesliga,,4a0e97d1
Regular season,10,Sun,2014-11-02,15:30,M'Gladbach,3–1,Hoffenheim,52409,Stadion im Borussia-Park,Deniz Aytekin,/en/matches/2220d600/Monchengladbach-Hoffenheim-November-2-2014-Bundesliga,,2220d600
Regular season,10,Sun,2014-11-02,17:30,Paderborn 07,3–1,Hertha BSC,14630,Benteler-Arena,Jochen Drees,/en/matches/790a0169/Paderborn-07-Hertha-BSC-November-2-2014-Bundesliga,,790a0169
Regular season,11,Fri,2014-11-07,20:30,Hertha BSC,0–2,Hannover 96,39710,Olympiastadion Berlin,Peter Sippel,/en/matches/f783149a/Hertha-BSC-Hannover-96-November-7-2014-Bundesliga,,f783149a
Regular season,11,Sat,2014-11-08,15:30,Augsburg,3–0,Paderborn 07,27755,WWK Arena,Daniel Siebert,/en/matches/e36be6b8/Augsburg-Paderborn-07-November-8-2014-Bundesliga,,e36be6b8
Regular season,11,Sat,2014-11-08,15:30,Eint Frankfurt,0–4,Bayern Munich,51500,Commerzbank-Arena,Florian Meyer,/en/matches/fd8a2dbd/Eintracht-Frankfurt-Bayern-Munich-November-8-2014-Bundesliga,,fd8a2dbd
Regular season,11,Sat,2014-11-08,15:30,Freiburg,2–0,Schalke 04,24000,Schwarzwald-Stadion,Felix Zwayer,/en/matches/3126abb3/Freiburg-Schalke-04-November-8-2014-Bundesliga,,3126abb3
Regular season,11,Sat,2014-11-08,15:30,Hoffenheim,3–4,Köln,30150,PreZero Arena,Günter Perl,/en/matches/dbfff972/Hoffenheim-Koln-November-8-2014-Bundesliga,,dbfff972
Regular season,11,Sat,2014-11-08,15:30,Leverkusen,0–0,Mainz 05,29714,BayArena,Markus Schmidt,/en/matches/a363e4da/Bayer-Leverkusen-Mainz-05-November-8-2014-Bundesliga,,a363e4da
