week,day,date,time,home_team,score,away_team,attendance,venue,referee,match_report,notes,game_id
23,Sat,1992-02-08,,Hansa Rostock,2–0,Stuttgart,,,Markus Merk,/en/matches/3b6c59c5/Hansa-Rostock-Stuttgart-February-8-1992-Bundesliga,,3b6c59c5
23,Sat,1992-02-08,,Köln,0–0,Hamburger SV,,,Manfred Neuner,/en/matches/5a133565/Koln-Hamburger-SV-February-8-1992-Bundesliga,,5a133565
23,Sat,1992-02-08,,S'gart Kickers,1–1,Kaiserslautern,,,Manfred Führer,/en/matches/6d8fe279/Stuttgarter-Kickers-Kaiserslautern-February-8-1992-Bundesliga,,6d8fe279
23,Sat,1992-02-08,,Schalke 04,1–1,Bayern Munich,,,Hans-Peter Dellwing,/en/matches/7cb0c0b6/Schalke-04-Bayern-Munich-February-8-1992-Bundesliga,,7cb0c0b6
23,Sat,1992-02-08,,Werder Bremen,0–0,M'Gladbach,,,Rainer Boos,/en/matches/910793d3/Werder-Bremen-Monchengladbach-February-8-1992-Bundesliga,,910793d3
23,Sun,1992-02-09,,MSV Duisburg,1–2,Leverkusen,,,Hans Fux,/en/matches/b7c2a2b2/MSV-Duisburg-Bayer-Leverkusen-February-9-1992-Bundesliga,,b7c2a2b2
24,Fri,1992-02-14,,MSV Duisburg,1–1,S'gart Kickers,,,Klaus-Dieter Stenzel,/en/matches/ee2c7644/MSV-Duisburg-Stuttgarter-Kickers-February-14-1992-Bundesliga,,ee2c7644
24,Fri,1992-02-14,,Nürnberg,1–0,Bochum,,,Günther Habermann,/en/matches/e47bf7c8/Nurnberg-Bochum-February-14-1992-Bundesliga,,e47bf7c8
24,Fri,1992-02-14,,Wattenscheid,0–1,Werder Bremen,,,Eugen Strigel,/en/matches/390b5794/Wattenscheid-Werder-Bremen-February-14-1992-Bundesliga,,390b5794
24,Sat,1992-02-15,,Bayern Munich,1–2,Dresden,,,Wolf-Günter Wiesel,/en/matches/a2d060f4/Bayern-Munich-Dresden-February-15-1992-Bundesliga,,a2d060f4
24,Sat,1992-02-15,,Dortmund,2–0,Schalke 04,,,Werner Föckler,/en/matches/65e287a3/Revierderby-Dortmund-Schalke-04-February-15-1992-Bundesliga,,65e287a3
24,Sat,1992-02-15,,Eint Frankfurt,1–2,Köln,,,Aron Schmidhuber,/en/matches/a46e2bb7/Eintracht-Frankfurt-Koln-February-15-1992-Bundesliga,,a46e2bb7
